Date,Name,Year,Letterboxd URI,Rating
2023-10-06,Black Bird,2022,https://boxd.it/BCSe,3.5
2023-10-06,Hannibal Rising,2007,https://boxd.it/2916,3
2023-10-06,Red Dragon,2002,https://boxd.it/1Yrs,2.5
2023-10-06,Black Swan,2010,https://boxd.it/Sw0,5
2023-10-07,Interstellar,2014,https://boxd.it/4VZ8,5
2023-10-07,The Wolf of Wall Street,2013,https://boxd.it/3C1m,1
2023-10-07,Nope,2022,https://boxd.it/sDCe,4
2023-10-07,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2023-10-07,The Matrix,1999,https://boxd.it/2a1m,3
2023-10-07,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4
2023-10-07,mother!,2017,https://boxd.it/dgRU,3
2023-10-07,Buffalo '66,1998,https://boxd.it/1YC6,4.5
2023-10-09,A Clockwork Orange,1971,https://boxd.it/2aVE,1
2023-10-13,The Prestige,2006,https://boxd.it/293w,4
2023-10-23,Saw,2004,https://boxd.it/2aWW,4
2023-10-23,Saw II,2005,https://boxd.it/2aRs,2.5
2023-10-23,Saw III,2006,https://boxd.it/2aRC,4
2023-10-23,Saw 3D,2010,https://boxd.it/Znk,4
2023-10-26,Suspiria,1977,https://boxd.it/1SNW,3.5
2023-10-27,Barbarian,2022,https://boxd.it/yohi,3
2023-10-27,The Pale Blue Eye,2022,https://boxd.it/u8tk,4.5
2023-10-27,The Last Letter from Your Lover,2021,https://boxd.it/nGzM,4
2023-10-27,You're Next,2011,https://boxd.it/2WWK,3
2023-11-01,Nightcrawler,2014,https://boxd.it/780m,4
2023-11-01,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,3
2023-11-01,The Sixth Sense,1999,https://boxd.it/29Js,4.5
2023-11-01,Me Before You,2016,https://boxd.it/9n98,3
2023-11-01,The Piano Teacher,2001,https://boxd.it/2886,0.5
2023-11-03,Pawn Sacrifice,2014,https://boxd.it/7dlE,4
2023-11-03,Killing Me Softly,2002,https://boxd.it/1Ofm,3.5
2023-11-04,Luckiest Girl Alive,2022,https://boxd.it/u5Sw,2
2023-11-04,Escape Room,2019,https://boxd.it/iYlS,3
2023-11-04,Escape Room: Tournament of Champions,2021,https://boxd.it/lwCM,2
2023-11-05,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2023-11-05,Fresh,2022,https://boxd.it/tCNi,2.5
2023-11-09,The Shining,1980,https://boxd.it/29Nu,3
2023-11-17,Memento,2000,https://boxd.it/2bcK,3
2023-12-03,Lords of Chaos,2018,https://boxd.it/f5no,2.5
2023-12-27,Oldboy,2003,https://boxd.it/29R2,3.5
2024-01-20,Audition,1999,https://boxd.it/1UHm,3
2024-11-03,The Substance,2024,https://boxd.it/zanS,3
2024-11-06,The Machinist,2004,https://boxd.it/248c,2
2024-11-08,Smile 2,2024,https://boxd.it/FDA4,2
2024-12-06,Heretic,2024,https://boxd.it/H1lY,2.5
2025-03-18,Wonka,2023,https://boxd.it/tCQm,3
2025-03-23,Fight Club,1999,https://boxd.it/2a9q,0.5
2025-04-05,"I, Tonya",2017,https://boxd.it/dzR0,4
2025-04-07,Blink Twice,2024,https://boxd.it/vIOg,3.5
2025-04-20,Novocaine,2025,https://boxd.it/JmdA,2
2025-04-20,Black Mirror: Eulogy,2025,https://boxd.it/U1Ww,2.5
2025-04-20,Black Mirror: Common People,2025,https://boxd.it/U1Vy,2
2025-04-20,Black Mirror: USS Callister – Into Infinity,2025,https://boxd.it/U1Wm,4
2025-04-20,Black Mirror: Plaything,2025,https://boxd.it/U1VS,1
2025-04-20,Black Mirror: Bête Noire,2025,https://boxd.it/U1VI,3.5
2025-04-20,Black Mirror: Hotel Reverie,2025,https://boxd.it/U1V4,3
2025-04-20,Black Mirror: The Waldo Moment,2013,https://boxd.it/hRpQ,3
2025-04-20,Black Mirror: Be Right Back,2013,https://boxd.it/hRpw,4
2025-04-20,Black Mirror: Striking Vipers,2019,https://boxd.it/mlse,4
2025-04-20,Black Mirror: Black Museum,2017,https://boxd.it/hRqu,3
2025-04-20,Black Mirror: USS Callister,2017,https://boxd.it/hQXi,3
2025-04-20,Black Mirror: The National Anthem,2011,https://boxd.it/hQYK,3.5
2025-04-20,Black Mirror: Nosedive,2016,https://boxd.it/hK9G,4
2025-04-20,Black Mirror: Beyond the Sea,2023,https://boxd.it/H7QI,4
2025-05-02,Sinners,2025,https://boxd.it/KQMM,3.5
2025-05-12,Parasite,2019,https://boxd.it/hTha,4.5
